CY	EC	KP	26662.6	12580.4	9962.99	34533.2	28056.3	34327.5	37109.4	44757.7	20259.2
CY	EC	PNG	8782.12	26472.9	8655.13	8872.03	28158.7	2572.33	26678.5	28273.3	20290.5
CY	EC	TE	27130.5	12647.7	9607.68	31796.5	28086.3	34748.4	34864.7	45638.4	20281.6
CY	KP	PNG	7490.81	39262.2	8803.58	9010.64	34576.2	2623.33	39494	33253.9	34370.8
CY	KP	TE	9133.14	8732.53	38440	31845.7	34581.8	34680.8	2161.49	5284.71	34279.4
CY	PNG	TE	39554.9	7382.97	8798.48	31769.5	9115.28	34751	30348.5	39844.5	2571.58
EC	KP	PNG	9518.69	26089.2	13448.1	26784.9	37046.3	28210.3	39442.1	33112.4	44789.3
EC	KP	TE	9302.49	8479.29	41226.8	34891.9	37208.6	45650.6	2141.24	5362	44811.7
EC	PNG	TE	26549.7	9156.18	13611.2	34810.1	26925.6	45631.1	30359.8	39901.1	28217.8
KP	PNG	TE	9214.14	37203.9	8916.66	2090.13	39595.4	5383.58	30379.2	39862.3	33278.4
