CY	EC	KP	42157.1	23608.6	19792.6	50738.9	42099.9	51178	54523.7	64457.4	32609.3
CY	EC	PNG	17258	45087.3	17738.2	13453.5	42057.2	4716.77	40784.3	41560.5	32568.3
CY	EC	TE	42861.4	23640.8	19352.1	45680.5	42118.5	51777.3	49947.3	65674.5	32502.7
CY	KP	PNG	16237.9	62615.3	17302.8	13353	50702.7	4692.77	58713.6	49644.9	51166.8
CY	KP	TE	18377.7	17705.8	61610.4	45767.8	50651.7	51776.6	1810.26	7422.45	51110.6
CY	PNG	TE	63066.6	16017.7	17290.3	45800.8	13581	51850.9	44497.9	59325.9	4722.27
EC	KP	PNG	19237	42082.5	24119.1	40591.5	54580.6	41578.9	58601.1	49676.9	64422.5
EC	KP	TE	18534	17389.3	65582.6	50001.7	54811.8	65629.9	1831.34	7695.74	64463.2
EC	PNG	TE	42726.5	18737.3	24299.3	49983.5	40780.8	65598.9	44426.7	59207.1	41598
KP	PNG	TE	18361.7	60522.9	17897.8	1789	58720.5	7509.59	44355.2	59191	49675.4
